PID,SID,ID,EID,ESID,NAME,NAME_SI,NAME_TA,CXP_OLDCODE
47,10,819,1-1-33-050,050,Lakshapathiya Central,ලක්ෂපතිය මධ්‍යම,லக்க்ஷபதிய மத்திய,550B
47,11,820,1-1-33-055,055,Angulana South,අඟුලාන දකුණ,அங்குலாண தெற்கு,547A
47,12,821,1-1-33-060,060,Uyana South,උයන දකුණ,உயண தெற்கு,552A
47,13,822,1-1-33-065,065,Uyana North,උයන උතුර,உயண வடக்கு,552B
47,14,823,1-1-33-070,070,Rawathawatta South,රාවතාවත්ත දකුණ,ராவத்தாவத்த தெற்கு,557B
47,15,824,1-1-33-075,075,Rawathawatta East,රාවතාවත්ත නැගෙනහිර,ராவத்தாவத்த கிழக்கு,557
47,16,825,1-1-33-080,080,Lakshapathiya South,ලක්ෂපතිය දකුණ,லக்க்ஷபதிய தெற்கு,550
47,17,826,1-1-33-085,085,Kuduwamulla,කුඩුවාමුල්ල,கடுவமுள்ள,551B
47,18,827,1-1-33-090,090,Katubedda,කටුබැද්ද,கட்டுபெத்த,551
47,19,828,1-1-33-095,095,Molpe,මොල්පේ,‍‍மோல்‍பே,551A
47,20,829,1-1-33-100,100,Moratumulla North,මොරටුමුල්ල උතුර,மொறட்டுமுள்ள வடக்கு,551C
47,21,830,1-1-33-105,105,Kadalana,කඩළාන,கடலாண,558A
47,22,831,1-1-33-110,110,Rawathawatta West,රාවතාවත්ත බටහිර,ராவத்தாவத்த ‍மேற்கு,557A
47,23,832,1-1-33-115,115,Idama,ඉඩම,இடம,552
47,24,833,1-1-33-120,120,Uswatta,උස්වත්ත,உஸ்வத்த,553C
47,25,834,1-1-33-125,125,Moratuwella South,මොරටුවැල්ල දකුණ,மொறட்டுவெள்ள தெற்கு,553
47,26,835,1-1-33-130,130,Indibedda West,ඉඳිබැද්ද බටහිර,இந்திபெத்த ‍மேற்கு,559
47,27,836,1-1-33-135,135,Moratumulla East,මොරටු මුල්ල නැ‍‍ගෙනහිර,மொறட்டுமுள்ள கிழக்கு,558
47,28,837,1-1-33-140,140,Moratumulla West,මොරටුමුල්ල බටහිර,மொறட்டுமுள்ள ‍மேற்கு,558B
47,29,838,1-1-33-145,145,Villorawatta East,විල්ලෝරාවත්ත නැගෙනහිර,வில்லொறவத்த கிழக்கு,560/61
47,30,839,1-1-33-150,150,Villorawatta West,විල්ලෝරාවත්ත බටහිර,வில்லொறவத்த ‍மேற்கு,560/61A
47,31,840,1-1-33-155,155,Indibedda East,ඉඳිබැද්ද නැගෙනහිර,இந்திபெத்த கிழக்கு,559A
47,32,841,1-1-33-160,160,Moratuwella North,මොරටුවැල්ල උතුර,மொறட்டுவெல வடக்கு,553A
47,33,842,1-1-33-165,165,Moratuwella West,මොරටුවැල්ල බටහිර,மொறட்டுவெல ‍மேற்கு,553B
47,34,843,1-1-33-170,170,Koralawella North,කොරළවැල්ල උතුර,‍‍கோறலவெள வடக்கு,554
47,35,844,1-1-33-175,175,Koralawella East,කොරළවැල්ල නැගෙනහිර,‍‍கோறலவெள கிழக்கு,554B
47,36,845,1-1-33-180,180,Koralawella West,කොරළවැල්ල බටහිර,‍‍கோறலவெள ‍மேற்கு,554C
47,37,846,1-1-33-185,185,Koralawella South,කොරළවැල්ල දකුණ,‍‍கோறலவெள தெற்கு,554A
47,38,847,1-1-33-190,190,Katukurunda North,කටුකුරුන්ද උතුර,கட்டுகுருந்த வடக்கு,555
47,39,848,1-1-33-195,195,Katukurunda South,කටුකුරුන්ද දකුණ,கட்டுகுருந்த தெற்கு,555A
47,40,849,1-1-33-200,200,Egoda Uyana North,එගොඩ උයන උතුර,எகொட உயண வடக்கு,556
47,41,850,1-1-33-205,205,Egoda Uyana Central,එගොඩ උයන මධ්‍යම,மத்திய எகொட உயண,556A
47,42,851,1-1-33-210,210,Egoda Uyana South,එගොඩ උයන දකුණ,எகொட உயண தெற்கு,556B
48,1,852,1-1-36-005,005,Pepiliyana West,පැපිලියාන බටහිර,பெப்பிலியாண ‍மேற்கு,535
48,2,853,1-1-36-010,010,Pepiliyana East,පැපිලියාන නැගෙනහිර,பெப்பிலியாண கிழக்கு,535C
48,3,854,1-1-36-015,015,Divulpitiya East,දිවුල්පිටිය නැගෙනහිර,திவுள்பிட்டிய கிழக்கு,535D
48,4,855,1-1-36-020,020,Divulpitiya West,දිවුල්පිටිය බටහිර,திவுள்பிட்டிய ‍மேற்கு,535B
48,5,856,1-1-36-025,025,Bellanvila,බෙල්ලන්විල,பெல்லண்வில,535A
48,6,857,1-1-36-030,030,Boralesgamuwa West A,බොරලැස්ගමුව බටහිර ඒ,பொரலஸ்கமுவ ‍மேற்கு ' A ',533B
48,7,858,1-1-36-035,035,Boralesgamuwa West C,බොරලැස්ගමුව බටහිර සී,பொரலஸ்கமுவ ‍மேற்கு ' C ',533F
48,8,859,1-1-36-040,040,Rattanapitiya,රත්නපිටිය,இரத்தணபிட்டிய,533A
48,9,860,1-1-36-045,045,Egodawatta,එගොඩවත්ත,எகொடவத்த,533C
48,10,861,1-1-36-050,050,Boralesgamuwa East A,බොරලැස්ගමුව නැගෙනහිර ඒ,பொரலஸ்கமுவ கிழக்கு ' A ',533
48,11,862,1-1-36-055,055,Boralesgamuwa West B,බොරලැස්ගමුව බටහිර බී,பொரலஸ்கமுவ ‍மேற்கு ' B ',533E
